epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1424,1.39066,2.93051,1.85231,0.00333,1,0.03776,0.02093,1.42756,6.93299,2.0496,0,0,0
2,26.6591,1.68638,2.87713,2.16915,0.00333,1,0.995,0.68981,1.36212,5.2784,2.08079,1.9604e-05,1.9604e-05,1.9604e-05
3,29.203,1.55407,2.60556,2.06266,0.98404,1,0.995,0.72103,1.22106,2.85901,1.85524,3.8416e-05,3.8416e-05,3.8416e-05
4,32.2247,1.41617,2.21763,2.30444,0.98598,1,0.995,0.78931,0.97998,3.69446,1.44747,5.6436e-05,5.6436e-05,5.6436e-05
5,34.8003,1.32862,1.43373,2.18309,0.98879,1,0.995,0.88908,0.55334,2.68394,1.01739,7.3664e-05,7.3664e-05,7.3664e-05
6,37.9068,0.79002,1.33927,1.29913,0.99109,1,0.995,0.83304,0.78371,2.09883,1.22541,9.01e-05,9.01e-05,9.01e-05
7,40.3765,0.86635,1.20951,1.44118,1,0.9919,0.995,0.83304,0.83264,2.7647,1.3103,0.000105744,0.000105744,0.000105744
8,42.8421,0.88066,1.29471,1.4078,0.98665,1,0.995,0.82079,0.71718,2.1725,1.16583,0.000120596,0.000120596,0.000120596
9,45.4413,0.9074,1.01113,1.39074,0.98812,1,0.995,0.85191,0.76558,2.06173,1.10129,0.000134656,0.000134656,0.000134656
10,48.2503,0.84868,1.16825,1.43364,0.97437,1,0.995,0.72954,1.11407,5.26264,1.38149,0.000147924,0.000147924,0.000147924
11,50.7452,0.75436,1.33342,1.42667,0.7536,1,0.995,0.72954,1.1959,15.1014,1.54894,0.0001604,0.0001604,0.0001604
12,53.4614,0.9643,1.40448,1.62787,0.98082,1,0.995,0.80828,0.86171,3.96417,1.25087,0.000172084,0.000172084,0.000172084
13,5.09827,0.53387,0.84743,1.15784,0,0,0,0,4.1546,5.38418e+17,8.99081e+14,0.000182976,0.000182976,0.000182976
14,8.18084,1.9716,4.71536,10.3315,0,0,0,0,4.15428,3.8394e+14,1.04335e+12,0.000193076,0.000193076,0.000193076
15,10.6488,2.40789,4.43259,6.43517,0,0,0,0,4.7179,1.50687e+13,3.87185e+10,0.000202384,0.000202384,0.000202384
16,13.7477,2.49675,4.57391,2.86367,0,0,0,0,4.6006,2.6097e+12,4.78647e+09,0.0002109,0.0002109,0.0002109
17,16.8477,2.18261,2.71703,23.1935,0,0,0,0,4.67028,4.39321e+11,5.06454e+08,0.000218624,0.000218624,0.000218624
18,19.2169,2.64338,2.67431,15.4866,0,0,0,0,4.67028,4.39321e+11,5.06454e+08,0.000225556,0.000225556,0.000225556
19,22.1274,1.95518,2.57347,12.4753,0,0,0,0,5.38827,4.3489e+10,3.66598e+07,0.000231696,0.000231696,0.000231696
20,24.2876,1.7452,1.96549,3.47507,0,0,0,0,5.38827,4.3489e+10,3.66598e+07,0.000237044,0.000237044,0.000237044
21,27.0767,1.92662,2.27951,2.2677,0,0,0,0,5.54155,5.47597e+09,6.8323e+06,0.0002416,0.0002416,0.0002416
22,29.4925,1.72349,1.97871,4.55568,0,0,0,0,5.54155,5.47597e+09,6.8323e+06,0.000245364,0.000245364,0.000245364
23,32.4657,1.66774,1.96971,2.24914,0,0,0,0,5.10228,6.49107e+08,1.09832e+06,0.000248336,0.000248336,0.000248336
24,34.639,1.77087,1.63216,2.20626,0,0,0,0,5.10228,6.49107e+08,1.09832e+06,0.000250516,0.000250516,0.000250516
25,38.4726,2.65412,2.26747,3.05415,0,0,0,0,5.10466,1.98312e+08,362072,0.000251904,0.000251904,0.000251904
26,40.9621,1.34792,1.38385,2.04243,0,0,0,0,5.10466,1.98312e+08,362072,0.0002525,0.0002525,0.0002525
27,43.9399,1.7271,1.57374,3.23655,0,0,0,0,5.07652,5.18408e+07,170222,0.000252304,0.000252304,0.000252304
28,46.2962,1.69729,2.05887,2.32278,0,0,0,0,5.07652,5.18408e+07,170222,0.000251316,0.000251316,0.000251316
29,49.2154,1.91399,1.79809,2.48846,0,0,0,0,5.00402,1.79135e+07,100673,0.000249536,0.000249536,0.000249536
30,51.3697,1.71096,2.21492,2.12831,0,0,0,0,5.00402,1.79135e+07,100673,0.000246964,0.000246964,0.000246964
31,54.5006,1.37444,1.35744,1.88411,0,0,0,0,4.85466,1.66042e+07,75859.4,0.0002436,0.0002436,0.0002436
32,56.6617,1.38654,1.39557,1.91975,0,0,0,0,4.85466,1.66042e+07,75859.4,0.000239444,0.000239444,0.000239444
33,59.708,1.49685,1.88836,2.16109,0,0,0,0,5.48503,6.77682e+06,38632.1,0.000234496,0.000234496,0.000234496
34,62.1651,1.47347,1.41831,1.95813,0,0,0,0,5.48503,6.77682e+06,38632.1,0.000228756,0.000228756,0.000228756
35,65.384,1.12355,1.26092,1.71956,0,0,0,0,5.6758,2.96585e+06,613365,0.000222224,0.000222224,0.000222224
36,67.5521,1.14242,1.21218,1.62495,0,0,0,0,5.6758,2.96585e+06,613365,0.0002149,0.0002149,0.0002149
37,70.9835,1.3806,1.25915,1.8022,0,0,0,0,5.35417,1.73917e+06,64429.4,0.000206784,0.000206784,0.000206784
38,73.2024,1.57217,1.84214,1.94354,0,0,0,0,5.35417,1.73917e+06,64429.4,0.000197876,0.000197876,0.000197876
39,76.8001,1.0664,0.94742,1.58972,0,0,0,0,4.95791,1.04528e+06,3715.41,0.000188176,0.000188176,0.000188176
40,79.1709,1.43668,1.51243,4.00538,0,0,0,0,4.95791,1.04528e+06,3715.41,0.000177684,0.000177684,0.000177684
41,82.4834,1.34507,1.79532,2.01748,0,0,0,0,4.46182,714701,2201.18,0.0001664,0.0001664,0.0001664
42,84.8475,1.83837,2.10896,2.34444,0,0,0,0,4.46182,714701,2201.18,0.000154324,0.000154324,0.000154324
43,87.7814,1.89192,2.15717,2.75494,0,0,0,0,4.71266,406331,1246.35,0.000141456,0.000141456,0.000141456
44,89.9937,1.00141,1.37581,1.63188,0,0,0,0,4.71266,406331,1246.35,0.000127796,0.000127796,0.000127796
45,92.7151,1.52887,1.68573,2.38835,0,0,0,0,4.92967,215944,6800.09,0.000113344,0.000113344,0.000113344
46,94.9309,1.32148,1.57057,2.11347,0,0,0,0,4.92967,215944,6800.09,9.81e-05,9.81e-05,9.81e-05
47,97.8135,0.79123,1.39228,1.66448,0,0,0,0,5.53406,145423,12871.5,8.2064e-05,8.2064e-05,8.2064e-05
48,100.055,0.9096,1.24195,1.8853,0,0,0,0,5.53406,145423,12871.5,6.5236e-05,6.5236e-05,6.5236e-05
49,102.912,0.89551,1.28171,1.80717,0,0,0,0,5.48907,115117,4224.44,4.7616e-05,4.7616e-05,4.7616e-05
50,105.131,0.87645,1.36181,1.46256,0,0,0,0,5.48907,115117,4224.44,2.9204e-05,2.9204e-05,2.9204e-05
